16:46:15.910 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:46:21.484 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:46:21.4842673-03:00 ---
16:46:21.484 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:46:27.012 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:46:27.012276-03:00 ---
16:46:27.012 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:46:32.742 [AWT-EventQueue-0] INFO  com.gsmart.GSmartGui - Salvando configurações antes de fechar...
16:46:32.743 [AWT-EventQueue-0] INFO  com.gsmart.config.ConfigManager - Configurações salvas com sucesso no arquivo 'gsmart.properties'.
16:46:32.764 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:46:32.7642593-03:00 ---
16:46:32.764 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:46:55.364 [AWT-EventQueue-0] INFO  com.gsmart.GSmartGui - Carregando configurações salvas...
16:46:55.373 [AWT-EventQueue-0] INFO  com.gsmart.config.ConfigManager - Arquivo de configuração 'gsmart.properties' carregado com sucesso.
16:46:58.820 [SwingWorker-pool-1-thread-1] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:46:59.560 [SwingWorker-pool-1-thread-1] INFO  c.gsmart.sources.ThingsBoardSource - Autenticação bem-sucedida!
16:46:59.602 [SwingWorker-pool-1-thread-2] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:46:59.867 [SwingWorker-pool-1-thread-2] INFO  c.gsmart.sources.ThingsBoardSource - Autenticação bem-sucedida!
16:46:59.868 [SwingWorker-pool-1-thread-2] INFO  c.gsmart.sources.ThingsBoardSource - Buscando perfis de dispositivo...
16:47:00.000 [SwingWorker-pool-1-thread-2] INFO  c.gsmart.sources.ThingsBoardSource - Encontrados 2 perfis de dispositivo.
16:47:00.039 [SwingWorker-pool-1-thread-3] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:47:00.306 [SwingWorker-pool-1-thread-3] INFO  c.gsmart.sources.ThingsBoardSource - Autenticação bem-sucedida!
16:47:00.307 [SwingWorker-pool-1-thread-3] INFO  c.gsmart.sources.ThingsBoardSource - Buscando dispositivos para o perfil ID: fad253d0-e880-11ee-8358-1f8b80ee0580
16:47:00.406 [SwingWorker-pool-1-thread-3] INFO  c.gsmart.sources.ThingsBoardSource - Encontrados 7 dispositivos.
16:47:10.356 [SwingWorker-pool-1-thread-4] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:47:10.619 [SwingWorker-pool-1-thread-4] INFO  c.gsmart.sources.ThingsBoardSource - Autenticação bem-sucedida!
16:47:10.749 [AWT-EventQueue-0] INFO  com.gsmart.GSmartGui - Lógica de negócio temporariamente desativada por padrão.
16:47:26.635 [AWT-EventQueue-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:47:26.908 [AWT-EventQueue-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticação bem-sucedida!
16:47:26.913 [AWT-EventQueue-0] INFO  com.gsmart.pipeline.PipelineManager - Recebida ordem para lançar pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:47:26.947 [AWT-EventQueue-0] INFO  com.gsmart.pipeline.PipelineManager - Pipeline para 'ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)' iniciada em segundo plano.
